Title,Description,Estimate,Labels,Priority,Status
Implement Speed Adjustment,"Apply speed setting to AVSpeechSynthesizer rate property, persist speed preference

**Ticket ID:** TTS-008
**Dependencies:** TTS-007, TTS-002

**Acceptance Criteria:**
- Speed changes affect TTS playback
- Preference is saved",3,TTS Speed,High,Backlog
Configure Audio Session,"Set up AVAudioSession with .playback category, configure for background audio, handle interruptions

**Ticket ID:** BG-001
**Dependencies:** TTS-002

**Acceptance Criteria:**
- Audio session configured
- Supports background playback",5,Background Audio,Urgent,Backlog
Implement Background Audio Support,"Ensure TTS continues playing when app goes to background or device is locked

**Ticket ID:** BG-002
**Dependencies:** BG-001, TTS-006

**Acceptance Criteria:**
- TTS continues playing when phone is locked or app backgrounded",5,Background Audio,Urgent,Backlog
Add Lock Screen Controls,"Implement MPNowPlayingInfoCenter to show book info and controls on lock screen

**Ticket ID:** BG-003
**Dependencies:** BG-002

**Acceptance Criteria:**
- Lock screen shows book title
- Play/pause controls work",5,Background Audio,High,Backlog
Design Audio Queue System,"Design architecture for pre-generating audio, queue management system, buffer strategy (3-5 sentences ahead)

**Ticket ID:** SEAMLESS-001
**Dependencies:** TTS-006

**Acceptance Criteria:**
- Queue system architecture designed and documented",5,Seamless TTS,Urgent,Backlog
Implement Audio Pre-generation,"Pre-generate audio for upcoming sentences in background queue while current sentence plays

**Ticket ID:** SEAMLESS-002
**Dependencies:** SEAMLESS-001, TTS-001, TTS-002

**Acceptance Criteria:**
- Audio for next 3-5 sentences is pre-generated while reading",8,Seamless TTS,Urgent,Backlog
Implement Seamless Playback,"Play pre-generated audio seamlessly, transition between sentences without gaps or delays

**Ticket ID:** SEAMLESS-003
**Dependencies:** SEAMLESS-002

**Acceptance Criteria:**
- Sentences play seamlessly without noticeable gaps or delays",8,Seamless TTS,Urgent,Backlog
Handle Queue Management,"Manage audio queue, handle buffer underruns, refill queue as needed, handle user navigation (skip/jump)

**Ticket ID:** SEAMLESS-004
**Dependencies:** SEAMLESS-003

**Acceptance Criteria:**
- Queue stays filled
- Handles navigation without breaking playback",8,Seamless TTS,Urgent,Backlog
Optimize Memory Management,"Ensure pre-generated audio doesn't consume excessive memory, implement cleanup for old audio files

**Ticket ID:** SEAMLESS-005
**Dependencies:** SEAMLESS-002

**Acceptance Criteria:**
- Memory usage is reasonable
- Old audio is cleaned up",5,Seamless TTS,High,Backlog
Design App Icon,"Create app icon for App Store submission

**Ticket ID:** UI-001
**Dependencies:** PROJ-001

**Acceptance Criteria:**
- App icon created and added to project",2,UI/UX,Medium,Backlog
Polish Reader UI,"Improve reader UI aesthetics, ensure good readability, add proper spacing and margins

**Ticket ID:** UI-002
**Dependencies:** READ-003

**Acceptance Criteria:**
- Reader UI looks polished and professional",3,UI/UX,Medium,Backlog
Add Loading States,"Show loading indicators when importing EPUBs, parsing content, or generating audio

**Ticket ID:** UI-003
**Dependencies:** EPUB-001, EPUB-005, SEAMLESS-002

**Acceptance Criteria:**
- Loading states shown for all async operations",3,UI/UX,High,Backlog
Add Error Handling,"Handle and display errors for file import failures, parsing errors, TTS errors

**Ticket ID:** UI-004
**Dependencies:** EPUB-001, EPUB-005, TTS-002

**Acceptance Criteria:**
- Errors are caught and displayed to user with helpful messages",5,UI/UX,High,Backlog
Implement Settings Screen,"Create settings screen for TTS preferences (default speed, voice selection), app preferences

**Ticket ID:** UI-005
**Dependencies:** TTS-008

**Acceptance Criteria:**
- Settings screen exists
- Can change TTS preferences",3,UI/UX,Medium,Backlog
